event_group_id,event_leg_id,issuer_code,sale_route,measurable_flag,parent_day0,P_ref_date,exec_ref_date,degenerate,split_in_window,leak_adjusted,stage1_cost,stage2_cost,stage3_cost,IS_raw,IS_adj,aux_protection,fill_ratio,status
G001,L001,6902,secondary_offering,TRUE,2023-11-30,2023-11-29,2023-12-13,,FALSE,,-0.014901,0.088943,0.030691,0.104732,0.100672,,,ok
G003,L001,7259,secondary_offering,TRUE,2024-06-28,2024-06-27,2024-07-08,,FALSE,,-0.007222,0.005887,0.030557,0.029223,0.055335,,,ok
G004,L001,7267,secondary_offering,TRUE,2024-07-05,2024-07-04,2024-07-17,,FALSE,,0.052146,-0.009368,0.030471,0.073249,0.079008,,,ok
G005,L001,8154,toSTNeT_3,TRUE,2025-08-08,2025-08-07,2025-08-07,TRUE,FALSE,,,,,0.000000,0.000000,-0.131231,1.000000,ok:degenerate(no_stage_split)
G006,L001,3950,secondary_offering,TRUE,2025-09-01,2025-08-29,2025-09-08,,FALSE,,0.019650,0.021806,0.031351,0.072807,0.093093,,,ok
G007,L001,4246,secondary_offering,TRUE,2026-01-08,2026-01-07,2026-01-19,,FALSE,,0.010956,-0.060553,0.052021,0.002424,0.042906,,,ok
G008,L001,7974,secondary_offering,TRUE,2026-03-02,2026-02-27,2026-03-09,,FALSE,,0.046303,-0.002094,0.030557,0.074767,-0.021879,,,ok
G008,L002,7974,toSTNeT_3,TRUE,2026-03-02,2026-02-27,2026-03-02,TRUE,FALSE,,,,,0.028530,0.018256,0.016377,0.145004,ok:degenerate(no_stage_split)
G009,L001,4063,secondary_offering,TRUE,2026-01-28,2026-01-27,2026-02-04,,FALSE,,0.109508,-0.061439,0.030544,0.078613,0.104100,,,ok
G010,L001,4062,secondary_offering,TRUE,2026-02-25,2026-02-24,2026-03-04,,FALSE,,0.061010,0.156735,0.040822,0.258567,0.209613,,,ok
G011,L001,2871,secondary_offering,TRUE,2026-01-09,2026-01-08,2026-01-19,,FALSE,,0.000000,-0.013357,0.030518,0.017161,0.065361,,,ok
G012,L001,6269,secondary_offering,TRUE,2024-05-15,2024-05-14,2024-05-22,,FALSE,,0.135944,0.064125,0.030634,0.230702,0.233047,,,ok
G013,L001,8031,secondary_offering,TRUE,2024-06-25,2024-06-24,2024-06-25,TRUE,FALSE,,,,,0.035652,0.052723,,,ok:degenerate(no_stage_split)
G014,L001,7936,secondary_offering,TRUE,2024-07-16,2024-07-12,2024-07-23,,FALSE,,-0.072756,0.090661,0.030641,0.048546,0.027187,,,ok
G015,L001,4543,secondary_offering,TRUE,2024-08-30,2024-08-29,2024-09-10,,FALSE,,0.035259,0.029400,0.040862,0.105521,0.061305,,,ok
G016,L001,4732,secondary_offering,TRUE,2024-10-08,2024-10-07,2024-10-16,,FALSE,,0.036634,0.038415,0.030711,0.105760,0.087812,,,ok
G018,L001,2269,secondary_offering,TRUE,2024-11-25,2024-11-22,2024-12-03,,FALSE,,0.030781,-0.004367,0.030655,0.057069,0.078005,,,ok
G019,L001,3003,secondary_offering,TRUE,2024-11-28,2024-11-27,2024-12-10,,FALSE,,0.053052,-0.021995,0.030556,0.061614,0.089754,,,ok
G020,L001,8136,secondary_offering,TRUE,2024-11-27,2024-11-26,2024-12-10,,FALSE,,0.104930,-0.007505,0.030585,0.128010,0.147108,,,ok
G021,L001,6981,secondary_offering,TRUE,2025-01-16,2025-01-15,2025-01-16,TRUE,FALSE,,,,,0.066999,0.066069,,,ok:degenerate(no_stage_split)
G022,L001,7182,secondary_offering,TRUE,2025-02-28,2025-02-25,2025-03-10,,FALSE,TRUE,0.011173,0.026454,0.020223,0.057851,0.049026,,,ok
G023,L001,7269,secondary_offering,TRUE,2025-04-08,2025-04-07,2025-04-14,,FALSE,,0.050272,-0.050272,0.051277,0.051277,0.134994,,,ok
G024,L001,7202,secondary_offering,TRUE,2025-05-30,2025-05-29,2025-06-10,,FALSE,,0.021962,0.042151,0.030712,0.094825,0.085615,,,ok
G025,L001,2282,secondary_offering,TRUE,2025-07-03,2025-07-02,2025-07-15,,FALSE,,0.040330,-0.000202,0.030513,0.070641,0.070383,,,ok
G027,L001,4816,secondary_offering,TRUE,2025-09-11,2025-09-10,2025-09-12,,FALSE,,0.000000,0.000000,0.061558,0.061558,0.067753,,,ok
G028,L001,7282,secondary_offering,TRUE,2025-11-21,2025-11-20,2025-12-01,,FALSE,,0.054748,0.023919,0.030727,0.109394,0.121073,,,ok
G029,L001,6058,secondary_offering,TRUE,,,,,,,,,,,,,,skip:parent_day0_unresolved(need after_close/disclosure_time)
G030,L001,1942,secondary_offering,TRUE,2026-01-30,2026-01-29,2026-02-16,,FALSE,,0.035705,-0.122948,0.030538,-0.056705,0.009347,,,ok
