step,price,volume
0,299.884430,12
1,299.447490,11
2,299.919070,12
3,299.695050,13
4,299.721520,17
5,300.326330,12
6,299.778240,11
7,299.492940,10
8,299.278290,18
9,299.870730,10
10,299.039760,17
11,299.744120,17
12,298.855850,19
13,300.245140,15
14,299.005210,16
15,299.895300,16
16,298.992070,19
17,300.062120,17
18,300.164380,17
19,299.242140,16
20,299.781620,11
21,299.598250,12
22,300.187480,8
23,300.187600,16
24,299.386120,9
25,300.036570,10
26,299.351550,10
27,300.035770,11
28,299.831230,13
29,300.319890,12
30,300.489860,13
31,300.362130,12
32,299.900110,15
33,299.987310,13
34,299.774320,15
35,300.555060,18
36,300.179860,12
37,299.735080,9
38,299.500790,14
39,299.629260,12
40,299.111660,13
41,299.095580,15
42,299.868670,12
43,299.931140,14
44,299.494460,18
45,299.691810,6
46,299.509430,14
47,299.511420,14
48,299.426650,11
49,299.562650,10
50,300.244980,17
51,299.167430,17
52,299.948540,15
53,299.596160,12
54,298.921030,15
55,299.521220,15
56,299.476230,12
57,299.538670,15
58,299.016580,15
59,299.794810,11
60,300.092820,10
61,299.316270,11
62,300.473510,10
63,300.342630,12
64,299.618610,9
65,300.027740,11
66,300.253300,13
67,300.446160,12
68,299.833240,11
69,299.809670,9
70,299.595730,10
71,300.257730,14
72,299.656370,13
73,300.144240,9
74,299.787050,13
75,299.953950,9
76,299.670900,13
77,300.008270,12
78,299.496520,13
79,299.682290,12
80,299.817610,15
81,299.539840,11
82,299.512770,15
83,300.566190,17
84,300.180620,11
85,299.786930,9
86,300.010800,14
87,299.646780,14
88,300.165730,8
89,300.324440,12
90,300.381290,11
91,300.749380,17
92,300.006040,13
93,300.106220,11
94,300.195010,12
95,300.841490,14
96,300.054190,13
97,299.749070,13
98,300.175340,14
99,300.295380,12
100,301.502770,13
101,301.332700,16
102,301.705100,12
103,300.880700,15
104,301.279000,13
105,301.284970,13
106,301.620580,14
107,301.044300,16
108,301.643340,14
109,301.291920,11
110,302.082230,11
111,302.216660,11
112,302.588690,12
113,301.595910,13
114,301.601440,13
115,302.024480,9
116,301.975920,11
117,301.963010,11
118,302.523290,13
119,301.367230,16
120,301.733840,8
121,302.810720,11
122,301.928230,12
123,301.781040,11
124,301.837050,10
125,301.985490,12
126,302.489250,10
127,302.628060,11
128,301.935430,10
129,302.363320,13
130,302.268730,8
131,302.271470,14
132,301.482930,16
133,301.779290,12
134,302.015010,14
135,302.472420,12
136,302.781780,11
137,302.379670,9
138,302.232960,11
139,302.115700,14
140,302.186780,15
141,302.457800,15
142,302.046270,19
143,301.473180,17
144,302.063800,13
145,301.746900,13
146,302.258980,14
147,301.549310,15
148,301.993350,13
149,301.048500,19
150,301.495360,11
151,301.127520,11
152,301.557970,10
153,301.372120,10
154,301.377790,10
155,300.635560,8
156,301.096630,10
157,301.365770,8
158,301.317460,12
159,301.274580,10
160,301.507810,10
161,301.429530,15
162,301.566150,12
163,300.660380,12
164,301.126440,11
165,300.862470,10
166,301.431320,11
167,301.049980,11
168,301.147320,12
169,300.696260,15
170,300.884950,12
171,301.106260,15
172,300.820880,10
173,300.637780,12
174,300.955710,14
175,301.244720,14
176,301.289940,15
177,301.102920,11
178,300.787420,9
179,301.752910,12
180,300.672180,17
181,300.796040,15
182,301.195140,17
183,300.490270,18
184,301.164500,15
185,301.545180,16
186,301.879120,15
187,301.418880,16
188,301.279550,14
189,300.414100,18
190,300.561270,10
191,300.984340,12
192,301.074600,11
193,301.605960,10
194,300.748780,13
195,300.633580,10
196,300.866650,10
197,301.288500,12
198,300.642880,12
199,300.774450,14
200,300.715130,15
201,301.129310,15
202,300.116580,13
203,300.236140,15
204,300.733890,11
205,300.900250,13
206,301.072160,12
207,300.321070,17
208,300.914840,14
209,300.433680,11
210,300.850240,13
211,301.148870,11
212,300.605000,13
213,301.347460,9
214,300.681460,12
215,301.212120,13
216,301.655080,11
217,301.078650,9
218,301.421820,8
219,301.026450,10
220,300.930310,14
221,301.508270,12
222,300.927360,11
223,300.928840,14
224,301.532650,16
225,302.691220,19
226,300.910670,13
227,301.129060,16
228,301.197140,10
229,300.776700,12
230,300.618910,13
231,300.524870,13
232,300.963390,14
233,300.808830,9
234,301.298910,14
235,300.524790,13
236,300.106230,14
237,300.710270,13
238,300.303340,12
239,300.707590,13
240,301.452160,14
241,301.355910,12
242,301.004440,12
243,300.837530,14
244,301.589810,10
245,301.301320,16
246,301.313310,10
247,301.388500,9
248,300.614710,10
249,300.965710,10
250,301.315010,13
251,301.392920,13
252,301.718710,15
253,301.457790,15
254,301.047370,16
255,301.011320,17
256,301.639040,15
257,301.413410,15
258,300.861820,12
259,300.659420,15
260,301.832260,16
261,301.167840,14
262,301.724340,15
263,300.354190,14
264,301.818650,13
265,301.421610,13
266,300.838230,16
267,300.536790,14
268,301.299550,13
269,301.929070,13
270,300.813650,12
271,301.209540,14
272,301.916830,13
273,300.951370,17
274,301.975320,15
275,300.601010,14
276,301.273650,12
277,301.160450,15
278,301.525480,14
279,301.514170,15
280,301.564990,14
281,301.327130,16
282,301.009210,14
283,300.756300,14
284,301.517420,12
285,300.565680,17
286,301.941740,15
287,302.054220,17
288,301.023860,13
289,301.054540,15
290,301.487840,13
291,300.671830,11
292,301.735540,15
293,300.863230,10
294,301.753940,13
295,301.359020,10
296,301.758320,16
297,301.227580,10
298,301.330720,12
299,301.097080,7
300,301.425280,13
301,300.737050,12
302,301.392120,15
303,300.784180,15
304,301.149340,13
305,300.808850,16
