cond,tau,S_km,S_ci_lo,S_ci_hi,cum_hazard,n_total,censoring_rate
C0u,100,0.9207162261755005,0.9171573452750614,0.92427539312225,0.08260340510571573,39314,0.2539807702090858
C0u,250,0.720427233071992,0.7127082917224901,0.7279390531534753,0.32791086368524586,39314,0.2539807702090858
C0u,500,0.3717641197970676,0.3631076875526086,0.38070046180371203,0.9894957123939223,39314,0.2539807702090858
C0u,750,0.17213920643816155,0.16496610884104532,0.1795474290877599,1.7594517897507447,39314,0.2539807702090858
C0u,1000,0.07628661943042575,0.07087850700699322,0.08180220889057604,2.5732577239547996,39314,0.2539807702090858
C0u,1250,0.03683873411712199,0.03245220450056838,0.04171786011510506,3.3012054298270455,39314,0.2539807702090858
C0u,1499,0.017541685050059565,0.014476120514588554,0.02100569975847923,4.043175227663857,39314,0.2539807702090858
C0p,100,0.8385314019468479,0.8354523558946069,0.8416471012518053,0.17610324827479612,44570,0.22376037693515818
C0p,250,0.6288249916669031,0.6230369057484515,0.6347102515647876,0.463902293639613,44570,0.22376037693515818
C0p,500,0.3130415413963621,0.30611650527359724,0.32017946465826463,1.1614193771323464,44570,0.22376037693515818
C0p,750,0.14090846494034817,0.13535698421781064,0.1465740411645438,1.959644784235902,44570,0.22376037693515818
C0p,1000,0.0622552563386984,0.057823079515890254,0.06690626396176437,2.776512308026229,44570,0.22376037693515818
C0p,1250,0.028408478962119704,0.025227658803312004,0.03183952840119988,3.5610676233694383,44570,0.22376037693515818
C0p,1499,0.012655605265997507,0.010052830656290456,0.015302978029961894,4.369655057918785,44570,0.22376037693515818
C2,100,0.9625887493173124,0.9584464143522033,0.9666268299896462,0.03812900998808754,10986,0.9102494083378846
C2,250,0.9249954487529577,0.9181274796155184,0.9316890221689506,0.07796646174888917,10986,0.9102494083378846
C2,500,0.9128891316220633,0.9045169608434008,0.9209851756580969,0.09114083881435865,10986,0.9102494083378846
C2,750,0.9107951670918027,0.9024893469776788,0.9188396103591461,0.0934372510299477,10986,0.9102494083378846
C2,1000,0.9102482976997145,0.9018710841604761,0.9183574798152043,0.09403786207422102,10986,0.9102494083378846
C2,1250,0.9102482976997145,0.9018710841604761,0.9183574798152043,0.09403786207422102,10986,0.9102494083378846
C2,1499,0.9102482976997145,0.9018710841604761,0.9183574798152043,0.09403786207422102,10986,0.9102494083378846
C3,100,0.804616171207362,0.7984998020230772,0.8108108603762213,0.2173899212252659,13691,0.7304068366079907
C3,250,0.7478635600029205,0.740652106155532,0.7550402537052742,0.2905347240589407,13691,0.7304068366079907
C3,500,0.732596908651928,0.7249457026435681,0.7403413559653128,0.31115964834066406,13691,0.7304068366079907
C3,750,0.730770216781301,0.7230920115896659,0.7385737970621842,0.3136562095762767,13691,0.7304068366079907
C3,1000,0.7306239456917927,0.7229739954651643,0.7384444224423614,0.3138563897791993,13691,0.7304068366079907
C3,1250,0.7304028693919495,0.7227992532150815,0.7382177979256876,0.31415902118780586,13691,0.7304068366079907
C3,1499,0.7304028693919495,0.7227992532150815,0.7382177979256876,0.31415902118780586,13691,0.7304068366079907
